靡ㄩ絏,虏嘿,るら,Μ絃基(じ)
COID,Name,MDATE,CLOSE
2317   ,翬         ,20190125,    52.6248
2354   ,翬非         ,20190125,    46.4175
3413   ,ㄊ供         ,20190125,    96.8550
6451   ,癟-KY      ,20190125,    73.2949
2330   ,縩筿       ,20190125,   190.3094
3443   ,承種         ,20190125,   182.8770
5347   ,         ,20190125,    45.3479
3374   ,弘         ,20190125,    34.7722
1560   ,い         ,20190125,    46.6637
2303   ,羛筿         ,20190125,     8.2389
2329   ,地         ,20190125,    10.4572
2379   ,风琑         ,20190125,   114.2940
2363   ,参         ,20190125,     8.2236
2449   ,ㄊじ筿     ,20190125,    16.7556
2454   ,羛祇       ,20190125,   167.8915
2451   ,承ǎ         ,20190125,    42.5702
0051   ,じい100  ,20190125,    23.0385
0052   ,碔üм     ,20190125,     5.5789
0053   ,じ筿     ,20190125,    26.1535
0050   ,じ芖50   ,20190128,    15.2447
1301   ,鹅         ,20190128,    76.4040
6505   ,鹅て       ,20190128,    91.3107
1326   ,て         ,20190128,    82.6514
1303   ,玭ㄈ         ,20190128,    56.2386
1216   ,参         ,20190128,    55.7868
2912   ,参禬       ,20190128,   257.3373
9907   ,参龟       ,20190128,     9.7256
2855   ,参靡       ,20190128,     7.4307
1232   ,参痲       ,20190128,    75.6286
2317   ,翬         ,20190128,    52.6992
2354   ,翬非         ,20190128,    47.0522
3413   ,ㄊ供         ,20190128,   106.3937
6451   ,癟-KY      ,20190128,    72.3464
2330   ,縩筿       ,20190128,   192.8356
3443   ,承種         ,20190128,   182.4266
5347   ,         ,20190128,    46.4276
3374   ,弘         ,20190128,    34.8634
1560   ,い         ,20190128,    46.4232
2303   ,羛筿         ,20190128,     8.1699
2329   ,地         ,20190128,    10.4572
2379   ,风琑         ,20190128,   113.1985
2363   ,参         ,20190128,     8.2054
2449   ,ㄊじ筿     ,20190128,    16.8272
2454   ,羛祇       ,20190128,   168.2300
2451   ,承ǎ         ,20190128,    42.6344
